(written by ASE)

224 atoms
2 atom types

0.0                      10  xlo xhi
0.0                      10  ylo yhi
0.0                      10  zlo zhi

Masses

     1      15.998999995884349 # O
     2      28.084999992775295 # Si

Atoms # charge

   115   2   2.4                     7.5                       0                     2.5
   116   2   2.4                     7.5                     2.5                       0
   117   1  -1.2                    6.25                     2.5                    3.75
   118   1  -1.2                    8.75                     2.5                    3.75
   119   1  -1.2                    8.75                     2.5                    1.25
   120   1  -1.2                    6.25                     2.5                    1.25
   121   1  -1.2                    8.75                    1.25                     2.5
   122   1  -1.2                    8.75                    3.75                     2.5
   123   1  -1.2                    6.25                    3.75                     2.5
   124   1  -1.2                    6.25                    1.25                     2.5
   125   1  -1.2                     7.5                    3.75                    1.25
   126   1  -1.2                     7.5                    3.75                    3.75
   127   1  -1.2                     7.5                    1.25                    3.75
   128   1  -1.2                     7.5                    1.25                    1.25
   129   1  -1.2                    6.25                       0                    1.25
   130   1  -1.2                    8.75                       0                    1.25
   131   1  -1.2                    8.75                       0                    3.75
   132   1  -1.2                    6.25                       0                    3.75
   133   1  -1.2                    8.75                    3.75                       0
   134   1  -1.2                    8.75                    1.25                       0
   135   1  -1.2                    6.25                    1.25                       0
   136   1  -1.2                    6.25                    3.75                       0
   137   1  -1.2                       5                    3.75                    3.75
   138   1  -1.2                       5                    3.75                    1.25
   139   1  -1.2                       5                    1.25                    1.25
   140   1  -1.2                       5                    1.25                    3.75
   141   2   2.4                       5                       0                       5
   142   2   2.4                       5                     2.5                     7.5
   143   2   2.4                     7.5                       0                     7.5
   144   2   2.4                     7.5                     2.5                       5
   145   1  -1.2                    6.25                     2.5                    8.75
   146   1  -1.2                    8.75                     2.5                    8.75
   147   1  -1.2                    8.75                     2.5                    6.25
   148   1  -1.2                    6.25                     2.5                    6.25
   149   1  -1.2                    8.75                    1.25                     7.5
   150   1  -1.2                    8.75                    3.75                     7.5
   151   1  -1.2                    6.25                    3.75                     7.5
   152   1  -1.2                    6.25                    1.25                     7.5
   153   1  -1.2                     7.5                    3.75                    6.25
   154   1  -1.2                     7.5                    3.75                    8.75
   155   1  -1.2                     7.5                    1.25                    8.75
   156   1  -1.2                     7.5                    1.25                    6.25
   157   1  -1.2                    6.25                       0                    6.25
   158   1  -1.2                    8.75                       0                    6.25
   159   1  -1.2                    8.75                       0                    8.75
   160   1  -1.2                    6.25                       0                    8.75
   161   1  -1.2                    8.75                    3.75                       5
   162   1  -1.2                    8.75                    1.25                       5
   163   1  -1.2                    6.25                    1.25                       5
   164   1  -1.2                    6.25                    3.75                       5
   165   1  -1.2                       5                    3.75                    8.75
   166   1  -1.2                       5                    3.75                    6.25
   167   1  -1.2                       5                    1.25                    6.25
   168   1  -1.2                       5                    1.25                    8.75
   169   2   2.4                       5                       5                       0
   170   2   2.4                       5                     7.5                     2.5
   171   2   2.4                     7.5                       5                     2.5
   172   2   2.4                     7.5                     7.5                       0
   173   1  -1.2                    6.25                     7.5                    3.75
   174   1  -1.2                    8.75                     7.5                    3.75
   175   1  -1.2                    8.75                     7.5                    1.25
   176   1  -1.2                    6.25                     7.5                    1.25
   177   1  -1.2                    8.75                    6.25                     2.5
   178   1  -1.2                    8.75                    8.75                     2.5
   179   1  -1.2                    6.25                    8.75                     2.5
   180   1  -1.2                    6.25                    6.25                     2.5
   181   1  -1.2                     7.5                    8.75                    1.25
   182   1  -1.2                     7.5                    8.75                    3.75
   183   1  -1.2                     7.5                    6.25                    3.75
   184   1  -1.2                     7.5                    6.25                    1.25
   185   1  -1.2                    6.25                       5                    1.25
   186   1  -1.2                    8.75                       5                    1.25
   187   1  -1.2                    8.75                       5                    3.75
   188   1  -1.2                    6.25                       5                    3.75
   189   1  -1.2                    8.75                    8.75                       0
   190   1  -1.2                    8.75                    6.25                       0
   191   1  -1.2                    6.25                    6.25                       0
   192   1  -1.2                    6.25                    8.75                       0
   193   1  -1.2                       5                    8.75                    3.75
   194   1  -1.2                       5                    8.75                    1.25
   195   1  -1.2                       5                    6.25                    1.25
   196   1  -1.2                       5                    6.25                    3.75
   197   2   2.4                       5                       5                       5
   198   2   2.4                       5                     7.5                     7.5
   199   2   2.4                     7.5                       5                     7.5
   200   2   2.4                     7.5                     7.5                       5
   201   1  -1.2                    6.25                     7.5                    8.75
   202   1  -1.2                    8.75                     7.5                    8.75
   203   1  -1.2                    8.75                     7.5                    6.25
   204   1  -1.2                    6.25                     7.5                    6.25
   205   1  -1.2                    8.75                    6.25                     7.5
   206   1  -1.2                    8.75                    8.75                     7.5
   207   1  -1.2                    6.25                    8.75                     7.5
   208   1  -1.2                    6.25                    6.25                     7.5
   209   1  -1.2                     7.5                    8.75                    6.25
   210   1  -1.2                     7.5                    8.75                    8.75
   211   1  -1.2                     7.5                    6.25                    8.75
   212   1  -1.2                     7.5                    6.25                    6.25
   213   1  -1.2                    6.25                       5                    6.25
   214   1  -1.2                    8.75                       5                    6.25
   215   1  -1.2                    8.75                       5                    8.75
   216   1  -1.2                    6.25                       5                    8.75
   217   1  -1.2                    8.75                    8.75                       5
   218   1  -1.2                    8.75                    6.25                       5
   219   1  -1.2                    6.25                    6.25                       5
   220   1  -1.2                    6.25                    8.75                       5
   221   1  -1.2                       5                    8.75                    8.75
   222   1  -1.2                       5                    8.75                    6.25
   223   1  -1.2                       5                    6.25                    6.25
   224   1  -1.2                       5                    6.25                    8.75
